date,pred_stl,stl_u80,stl_u95,stl_l80,stl_l95
2020-07-09,61973,64360,65624,59585,58321
2020-07-10,65055,67887,69386,62224,60725
2020-07-11,64271,67629,69407,60914,59136
2020-07-12,61960,65914,68007,58006,55912
2020-07-13,62759,67370,69810,58149,55708
2020-07-14,68204,73524,76340,62884,60068
2020-07-15,70528,76605,79822,64451,61233
2020-07-16,74475,81353,84994,67597,63956
2020-07-17,77558,85277,89363,69839,65753
2020-07-18,76774,85372,89923,68176,63624
2020-07-19,74462,83975,89010,64949,59913
2020-07-20,75262,85723,91261,64800,59262
2020-07-21,80706,92149,98207,69263,63206
2020-07-22,83030,95486,102079,70574,63980
